Category,Feature_ID,Feature,Testcase,Status,Evidence,Command
计算引擎-MXU,MXU-01,单 tile INT4×INT8→INT32 bit-exact,tb_mxu single_tile,✅ PASS,4096/4096 逐比特匹配,python3 scripts/gen_mxu_vectors.py --scenario single_tile && vcs -full64 -sverilog -top tb_mxu rtl/tb/tb_mxu.v rtl/mxu/*.v -o simv_mxu && ./simv_mxu +testdir=rtl/test_vectors/mxu/single_tile +scenario=single_tile
计算引擎-MXU,MXU-02,多 tile K 拆分,tb_mxu multi_tile_K,✅ PASS,9 场景 PASS,python3 scripts/gen_mxu_vectors.py --scenario multi_tile_K && ./simv_mxu +testdir=rtl/test_vectors/mxu/multi_tile_K +scenario=multi_tile_K
计算引擎-MXU,MXU-03,多 tile N 拆分,tb_mxu multi_tile_N,✅ PASS,9 场景 PASS,python3 scripts/gen_mxu_vectors.py --scenario multi_tile_N && ./simv_mxu +testdir=rtl/test_vectors/mxu/multi_tile_N +scenario=multi_tile_N
计算引擎-MXU,MXU-04,多 tile M 拆分,tb_mxu multi_tile_M,✅ PASS,9 场景 PASS,python3 scripts/gen_mxu_vectors.py --scenario multi_tile_M && ./simv_mxu +testdir=rtl/test_vectors/mxu/multi_tile_M +scenario=multi_tile_M
计算引擎-MXU,MXU-05,溢出饱和,tb_mxu overflow,✅ PASS,PASS,python3 scripts/gen_mxu_vectors.py --scenario overflow && ./simv_mxu +testdir=rtl/test_vectors/mxu/overflow +scenario=overflow
计算引擎-MXU,MXU-06,零维/部分 tile,tb_mxu zero_dim/partial,✅ PASS,PASS,python3 scripts/gen_mxu_vectors.py --scenario all && ./simv_mxu +testdir=rtl/test_vectors/mxu/zero_dim +scenario=zero_dim
计算引擎-MXU,MXU-07,随机 100 组合,tb_mxu random,✅ PASS,100/100 PASS,python3 scripts/gen_mxu_vectors.py --scenario random && ./simv_mxu +testdir=rtl/test_vectors/mxu/random +scenario=random
计算引擎-MXU,MXU-08,ACCUMULATE 模式（CTRL[2]）,FM-SOC-003 + test_mmul_accumulate,✅ PASS,SoC 路径 + FM golden 加固,bash sim/regression/run_fm_soc_case.sh FM-SOC-003
计算引擎-SFU,SFU-01,Softmax 8-stage,tb_sfu + FM-SOC-004,✅ PASS,319/319 batch PASS,python3 scripts/gen_sfu_vectors.py --scenario softmax && python3 scripts/run_batch_regression.py
计算引擎-SFU,SFU-02,LayerNorm 6-stage,tb_sfu,✅ PASS,PASS,python3 scripts/gen_sfu_vectors.py --scenario layernorm && python3 scripts/run_batch_regression.py
计算引擎-SFU,SFU-03,RMSNorm two-pass,tb_sfu + FM-SOC-004/010,✅ PASS,FM-SOC-10X 17-op chain 33/33 PASS (task-16),python3 scripts/gen_sfu_vectors.py --scenario rmsnorm && python3 scripts/run_batch_regression.py
计算引擎-SFU,SFU-04,RoPE 16-stage CORDIC,tb_sfu + FM-SOC-004,✅ PASS,PASS,python3 scripts/gen_sfu_vectors.py --scenario rope && python3 scripts/run_batch_regression.py
计算引擎-SFU,SFU-05,GELU 4-segment,tb_sfu,✅ PASS,PASS,python3 scripts/gen_sfu_vectors.py --scenario gelu && python3 scripts/run_batch_regression.py
计算引擎-SFU,SFU-06,SiLU Newton-Raphson,tb_sfu,✅ PASS,PASS,python3 scripts/gen_sfu_vectors.py --scenario silu && python3 scripts/run_batch_regression.py
计算引擎-SFU,SFU-07,exp LUT,tb_sfu + exp_lut_tb,✅ PASS,256-entry 校准,python3 scripts/gen_sfu_luts.py && vcs -full64 -sverilog -top tb_exp_lut rtl/tb/tb_exp_lut.sv rtl/sfu/exp_lut.v -o simv_exp_lut && ./simv_exp_lut
计算引擎-Vector,VEC-01,ADD 128-wide SIMD,tb_vector + FM-SOC-005,✅ PASS,63/63 batch PASS,python3 scripts/gen_vector_vectors.py --scenario add && python3 scripts/run_batch_regression.py
计算引擎-Vector,VEC-02,MUL 128-wide SIMD,tb_vector + FM-SOC-005,✅ PASS,PASS,python3 scripts/gen_vector_vectors.py --scenario mul && python3 scripts/run_batch_regression.py
计算引擎-Vector,VEC-03,MAX 逐元素,tb_vector,✅ PASS,PASS,python3 scripts/gen_vector_vectors.py --scenario max && python3 scripts/run_batch_regression.py
